color	gene_n
darkgreen	VSIG4
darkgreen	VWA8
darkgreen	ZNF608
white	MACF1
white	MTMR1
white	IGHG1
white	IGHGP
white	AC084082.1
white	RN7SKP48
white	RN7SKP71
white	RN7SKP80
white	RN7SL521P
white	RN7SL767P
white	RNU4-1
white	RNU4-2
white	RNU4ATAC
white	RNU5B-1
white	RNU6ATAC
white	RNVU1-18
white	RNY1
white	SCARNA22
white	SNORA12
white	SNORA14B
white	SNORA20
white	SNORA22
white	SNORA23
white	SNORA26
white	SNORA37
white	SNORA38
white	SNORA49
white	SNORA53
white	SNORA71B
white	SNORA73B
white	SNORA74A
white	SNORA74B
white	SNORA7B
white	SNORD13
white	SNORD15B
white	SNORD17
white	SNORD46
white	SNORD67
white	SNORD89
white	CLEC12A
white	CLEC12B
darkorange	ALG5
darkorange	ASPM
darkorange	ATP5MC3
darkorange	CACYBP
darkorange	CALU
darkorange	CCNA2
darkorange	CCNB1
darkorange	CDC6
darkorange	CENPE
darkorange	CENPF
darkorange	CYCS
darkorange	DERL3
darkorange	DNAJB11
darkorange	DNAJB9
darkorange	ERLEC1
darkorange	FBXO5
darkorange	FEN1
darkorange	GGH
darkorange	H1-2
darkorange	H1-3
darkorange	H1-5
darkorange	H2AC11
darkorange	H2AC12
darkorange	H2AC13
darkorange	H2AC14
darkorange	H2AC15
darkorange	H2AC16
darkorange	H2AC21
darkorange	H2AC4
darkorange	H2AC8
darkorange	H2BC10
darkorange	H2BC11
darkorange	H2BC12
darkorange	H2BC13
darkorange	H2BC14
darkorange	H2BC15
darkorange	H2BC17
darkorange	H2BC3
darkorange	H2BC6
darkorange	H2BC7
darkorange	H2BC8
darkorange	H2BC9
darkorange	H3C1
darkorange	H3C11
darkorange	H3C12
darkorange	H3C13
darkorange	H3C2
darkorange	H3C3
darkorange	H3C7
darkorange	H3C8
darkorange	H4C1
darkorange	H4C13
darkorange	H4C2
darkorange	H4C4
darkorange	H4C8
darkorange	H4C9
darkorange	HSP90B1
darkorange	HSPA13
darkorange	IGHA1
darkorange	IGHV5-51
darkorange	IGHV6-1
darkorange	IGLC2
darkorange	IGLV3-10
darkorange	IGLV3-25
darkorange	IGLV3-27
darkorange	ILF2
darkorange	ITM2C
darkorange	JCHAIN
darkorange	KIF11
